tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-life-stage,animal-mass,animal-offspring,animal-parents,animal-sex,animal-siblings,attachment-body-part,attachment-type,deploy-on-latitude,deploy-on-longitude,deploy-on-person,deployment-comments,deployment-id,manipulation-type,tag-beacon-frequency,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
6832,LYRU_0001,Lynx rufus,2020-02-12 00:00:00.000,2020-10-30 00:00:00.000,adult,6300.0,,,f,,neck,collar,,,"Scott LaPoint, Kate Terlizzi","Captured near Mineral Springs Falls, PIT (989001032046105)",6832-LYRU_0001,none,915.896,e-obs,120.0,1-CL,other-wireless
6829,LYRU_0002,Lynx rufus,2021-03-03 00:00:00.000,2021-09-29 10:04:08.000,subadult,7200.0,"LYRU_0003, LYRU_0004",,f,,neck,collar,,,"Scott LaPoint, Katherine Burgstahler","captured north of Speyside Quarry, PIT 989001032046130",6829-LYRU_0002,none,914.396,e-obs,120.0,1-CL,other-wireless
6830,LYRU_0003,Lynx rufus,2023-01-18 00:00:00.000,2023-07-29 00:00:00.000,juvenile,5000.0,,LYRU_0002,f,LYRU_0004,neck,collar,41.398775,-74.087252,"Scott LaPoint, Erika Sertl","~9 months old, captured at HONW (northwest corner of Houghton Farm property), PIT 989001032046138",6830-LYRU_0003,none,915.595,e-obs,120.0,1-CL,other-wireless
6835,LYRU_0004,Lynx rufus,2023-01-31 17:53:47.000,2023-03-19 12:14:06.000,juvenile,8000.0,,LYRU_0002,m,LYRU_0003,neck,collar,,,Scott LaPoint,"captured at ORAN trap, PIT 989001032046192, dispersed",6835-LYRU_0004,none,914.095,e-obs,120.0,1-CL,other-wireless
6834,LYRU_0005,Lynx rufus,2023-02-10 00:00:00.000,2023-02-13 00:00:00.000,juvenile,5400.0,,,f,,neck,collar,,,"Scott LaPoint, Erika Sertl","captured at LESN, PIT 989001032046162",6834-LYRU_0005,none,914.693,e-obs,120.0,1-CL,other-wireless
6843,PEPE_0001,Pekania pennanti,2023-02-23 17:00:46.000,2023-04-29 18:28:13.000,subadult,2600.0,,,f,,neck,collar,,,Scott LaPoint,"captured at ORAN trap, PIT 989001032046154, Showed signs of dispersing. Collar battery died during deployment.",6843-PEPE_0001,none,916.195,e-obs,80.0,1-A,other-wireless
6833,LYRU_0006,Lynx rufus,2023-03-05 00:00:00.000,2023-03-08 00:00:00.000,subadult,6700.0,,,m,,neck,collar,,,Scott LaPoint,"captured at TROU, PIT 9890010320046142.",6833-LYRU_0006,none,914.995,e-obs,120.0,1-CL,other-wireless
6841,PEPE_0002,Pekania pennanti,2023-03-21 16:00:53.000,2023-03-28 15:00:33.000,adult,2700.0,,,f,,neck,collar,,,Scott LaPoint,">4years old, captured at KNOX, PIT 989001032046097, despite time of year, no signs of pregnancy nor lactation. Dropped collar almost immediately.",6841-PEPE_0002,none,912.293,e-obs,80.0,1-A,other-wireless
6831,LYRU_0008,Lynx rufus,2026-02-27 00:00:00.000,,adult,11400.0,,,m,,neck,collar,,,Scott LaPoint,"captured near Speyside Quarry (SPEY) in New York, PIT 989001032046139",LYRU_0008_6831,none,915.294,e-obs,125.0,CL,other-wireless
